Embedding,BestModel,F1,MCC,Accuracy
CodeBERT,sgd,0.09696969696969697,0.1645415744974916,0.5636896046852123
CodeBERT (Improved),xgboost,0.611157368859284,0.047333419349163575,0.48718887262079064
CodeBERT (Improved),xgboost,0.611157368859284,0.047333419349163575,0.48718887262079064
CodeBERT (Improved),xgboost,0.611157368859284,0.047333419349163575,0.48718887262079064
