Method,F1,MCC,Accuracy
FLAML,0.44662095984329087,0.1532288363326185,0.5863836017569546
Optuna,0.5426027977956761,0.19885426894129446,0.6050512445095169
FLAML,0.5434962717481359,0.18367274030659506,0.5966325036603221
Optuna,0.5561224489795918,0.22485478761956698,0.6178623718887262
FLAML,0.5434962717481359,0.18367274030659506,0.5966325036603221
Optuna,0.549807610089782,0.21775618331269947,0.6145680819912153
