Dataset,BestModel,F1,MCC,Accuracy,TrainTime
CM1,xgboost,0.3157894736842105,0.2605141383010009,0.87,0.02690434455871582
KC1,xgboost,0.4,0.3123122980274441,0.8364928909952607,0.15992498397827148
PC1,xgboost,0.23529411764705882,0.17424554793117783,0.8828828828828829,0.067352294921875
CM1,extra_tree,0.10526315789473684,0.01929734357785192,0.83,0.03672957420349121
KC1,extra_tree,0.45390070921985815,0.3459209859209118,0.8175355450236966,0.2748744487762451
PC1,extra_tree,0.3870967741935484,0.3541147228437435,0.9144144144144144,0.8671786785125732
CM1,lgbm,0.2,0.117967526404102,0.84,0.05224156379699707
KC1,extra_tree,0.45517241379310347,0.3452711524063965,0.8127962085308057,0.4481391906738281
PC1,extra_tree,0.3870967741935484,0.3541147228437435,0.9144144144144144,2.0889172554016113
