Embedding,BestModel,F1,MCC,Accuracy
CodeT5,sgd,0.4643384161337924,0.18652553638121042,0.6013909224011713
CodeT5 (Improved),lgbm,0.5535433070866141,0.16585988828987408,0.5849194729136163
CodeT5 (Improved),lgbm,0.5321252059308073,0.15900951535649527,0.5841874084919473
CodeT5 (Improved),xgboost,0.549096622152396,0.15587836316011816,0.5797950219619327
CodeT5 (Improved),xgboost,0.5434962717481359,0.18367274030659506,0.5966325036603221
CodeT5 (Improved),xgboost,0.5434962717481359,0.18367274030659506,0.5966325036603221
